"","GEOID","NAME","county","avg_hh_inc_quint_2ndlow_trc","avg_hh_inc_quint_3rdlow_trc","avg_hh_inc_quint_4thlow_trc","avg_hh_inc_quint_lowest_trc","avg_hh_inc_quint_top_trc","avg_hh_inc_vent_top_trc","est_tot_transp2work","gini_trc","hh_noworker_n_trc","hh_tot_n_trc","noinc_15up_trc","per_cap_inc_trc","per_cap_wht_inc_trc","pop_15up_trc","pop_trc","ratio_incpov_trc","yesinc_15up_trc","geoid","wht_prem_p_trc","palma"
"1","41001950100","Census Tract 9501","Baker County",25682,44097,73254,9099,153821,267629,1046,0.4769,568,1255,252,27507,27686,2409,2817,444,2157,41001950100,1.00650743447123,15.3893792587907
"2","41001950200","Census Tract 9502","Baker County",27035,48339,80918,10436,150649,244370,1372,0.4515,449,1422,271,26660,27297,2771,3435,727,2500,41001950200,1.02389347336834,13.043153371941
"3","41001950300","Census Tract 9503","Baker County",23452,40701,60475,9409,118872,164151,842,0.4283,537,1122,193,23838,25083,1998,2429,476,1805,41001950300,1.0522275358671,9.99062718724324
"4","41001950400","Census Tract 9504","Baker County",29847,44943,65935,16352,122498,161680,1046,0.3754,520,1231,163,25957,26535,2312,2698,509,2149,41001950400,1.02226759640945,6.99928569882465
"5","41001950500","Census Tract 9505","Baker County",31907,45777,69749,16813,163158,295970,996,0.44,343,972,401,26052,26677,2246,2641,424,1845,41001950500,1.02399048057731,12.1498357963875
"6","41001950600","Census Tract 9506","Baker County",29580,43354,61301,13483,134904,248465,612,0.4249,491,925,144,26586,27049,1691,1964,273,1547,41001950600,1.01741518092229,11.5396047651116
"7","41003000100","Census Tract 1","Benton County",34600,57642,87296,15943,161171,266552,4426,0.4143,689,3208,554,28910,28709,6777,8037,1365,6223,41003000100,0.993047388446904,10.5475337831154
"8","41003000202","Census Tract 2.02","Benton County",47805,72382,104678,20320,211550,308175,2771,0.4096,639,2217,367,39799,43525,4374,5104,860,4007,41003000202,1.09362044272469,9.04733944954129
"9","41003000400","Census Tract 4","Benton County",49466,78641,126949,17623,254663,434433,3560,0.4524,1051,3313,811,44425,43807,6706,7883,1451,5895,41003000400,0.986088913899831,12.9509457586191
"10","41003000500","Census Tract 5","Benton County",52149,91887,132938,15208,310650,570928,1353,0.4818,471,1384,322,50585,54775,2911,3349,530,2589,41003000500,1.08283087871899,16.9522989444304
