"","county_code","year","tot_all_crime","tot_all_rob","tot_all_aslt"
"1",41001,2009,149,0,13
"2",41003,2009,2725,22,584
"3",41005,2009,11017,178,1371
"4",41007,2009,1836,21,312
"5",41009,2009,877,0,207
"6",41011,2009,2035,12,410
"7",41013,2009,561,0,106
"8",41015,2009,270,0,49
"9",41017,2009,6159,37,1903
"10",41019,2009,3560,21,1253
"11",41021,2009,30,0,11
"12",41023,2009,108,0,28
"13",41025,2009,191,0,64
"14",41027,2009,411,3,53
"15",41029,2009,7864,42,2398
"16",41031,2009,684,9,157
"17",41033,2009,2605,33,470
"18",41035,2009,1865,34,525
"19",41037,2009,78,0,16
"20",41039,2009,17257,271,2630
"21",41041,2009,1973,17,567
"22",41043,2009,4520,49,802
"23",41045,2009,990,9,157
"24",41047,2009,16418,203,4192
"25",41049,2009,386,0,171
"26",41051,2009,41613,1215,7608
"27",41053,2009,1612,5,499
"28",41055,2009,45,0,7
"29",41057,2009,924,3,292
"30",41059,2009,2937,28,906
"31",41061,2009,691,0,117
"32",41063,2009,79,0,15
"33",41065,2009,914,6,133
"34",41067,2009,12894,244,2453
"35",41069,2009,0,0,0
"36",41071,2009,2466,28,460
"37",41001,2010,233,0,5
"38",41003,2010,2260,13,594
"39",41005,2010,11458,163,1294
"40",41007,2010,1749,12,280
"41",41009,2010,700,2,152
"42",41011,2010,2287,14,451
"43",41013,2010,575,2,111
"44",41015,2010,378,0,61
"45",41017,2010,6936,50,2007
"46",41019,2010,3704,34,1372
"47",41021,2010,26,0,9
"48",41023,2010,58,0,9
"49",41025,2010,187,0,50
"50",41027,2010,153,0,17
"51",41029,2010,8800,67,2686
"52",41031,2010,1041,7,332
"53",41033,2010,2872,39,507
"54",41035,2010,2237,34,587
"55",41037,2010,103,0,29
"56",41039,2010,15004,224,2599
"57",41041,2010,1961,19,569
"58",41043,2010,4285,45,810
"59",41045,2010,1138,3,171
"60",41047,2010,13735,177,2744
"61",41049,2010,312,2,124
"62",41051,2010,43004,1209,7216
