"","year","id","wrkstat","evwork","PRESTG10","natcrime","health","abhlth","fear","fepresch","fammhneg","safehlth","trdunion","physhlth","mntlhlth","hlthdays","hyperten","arthrtis","diabetes","depress","misswork","hlthphys","hlthmntl","abinspay","inteduc","savejobs","spschool","hlthcare","prvdschl","strngun","conschls","immcrime","crimlose","ballot","hlthstrt","rhlthend","yr_bal_id"
"1",2014,1,"WORKING FULLTIME",NA,53,"ABOUT RIGHT","excellent","yes","no",NA,NA,"Agree","Strongly Disagree",0,0,0,"No","Yes","Yes","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C1"
"2",2014,2,"WORKING FULLTIME",NA,51,"TOO LITTLE","excellent","yes","no",NA,NA,"Strongly Agree","Agree",0,0,0,"No","No","No","Yes",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT C",NA,NA,"2014BALLOT C2"
"3",2014,3,"UNEMPL, LAID OFF",NA,39,NA,"good","yes","no","STRONGLY DISAGREE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"BALLOT A",NA,NA,"2014BALLOT A3"
"4",2014,4,"WORKING PARTTIME",NA,53,NA,NA,NA,NA,"disagree",NA,"Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,6,"BALLOT B",NA,NA,"2014BALLOT B4"
"5",2014,5,"retired","yes",60,"TOO LITTLE","excellent","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT C",NA,NA,"2014BALLOT C5"
"6",2014,6,"WORKING FULLTIME",NA,46,NA,"excellent","yes","no","disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"BALLOT A",NA,NA,"2014BALLOT A6"
"7",2014,7,NA,NA,NA,NA,NA,NA,NA,"STRONGLY AGREE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT B",NA,NA,"2014BALLOT B7"
"8",2014,8,"WORKING FULLTIME",NA,53,NA,NA,NA,NA,"disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT B",NA,NA,"2014BALLOT B8"
"9",2014,9,"other","no",NA,NA,"poor","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT C",NA,NA,"2014BALLOT C9"
"10",2014,10,"WORKING FULLTIME",NA,42,NA,"excellent","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT C",NA,NA,"2014BALLOT C10"
