Location,year,n_05_children_cou,n_emprelatedaycare_children_cou,n_exitfostercare_children_cou,n_fostercare_children_cou,n_suppnutrition_children_cou,n_tempassist_children_cou,n_totaln_children_cou,per100_childcareslots_children_cou,per1000_abuseneglect_children_cou,per1000_infantmortality_all_cou,per1000_juvarrest_children_cou,per1000_juvjusref_children_cou,per1000_lowbirthweight_all_cou,per1000_teenpreg1517_all_cou,per1000_teenpreg1519_all_cou,per1000_threatharm_children_cou,percent_adequateprenatcare_all_cou,percent_ageoutfostercare_children_cou,percent_amind_all_cou,percent_amind_children_cou,percent_asian_all_cou,percent_asian_children_cou,percent_black_all_cou,percent_black_children_cou,percent_cohortgrad_children_cou,percent_foodinsecure_children_cou,percent_fostercare_children_cou,percent_frl_children_cou,percent_g3mathprof_children_cou,percent_g3readprof_children_cou,percent_g8mathprof_children_cou,percent_g8readprof_children_cou,percent_hispanic_all_cou,percent_hispanic_children_cou,percent_homeless_children_cou,percent_immuniz4313_children_cou,percent_immuniz4313314_children_cou,percent_multi_all_cou,percent_multi_children_cou,percent_nohealthinsur_children_cou,percent_noschoolage34_children_cou,percent_pacisl_all_cou,percent_pacisl_children_cou,percent_poverty_children_cou,percent_stablefostercare_children_cou,percent_unemployed_all_cou,percent_white_all_cou,percent_white_children_cou
Baker,2014,1007,66,24,64,1202,264,3117,NA,17.7,0,NA,25.3,NA,NA,28.7,NA,73.5,NA,1.2,1.1,0.6,0.7,0.5,0.5,64.2,30.4,2.1,NA,59.4,71.3,56.1,68.4,3.9,7.2,5.6,NA,73.5,2.2,4.2,5.3,54,0.1,0,29.2,54.8,8.6,91.6,86.3
Baker,2015,1043,69,26,91,1184,209,3119,NA,31.4,21.1,NA,24,NA,NA,29.1,NA,79.6,NA,1.2,1.2,0.7,1.1,0.6,0.6,72.1,25.8,2.9,43.3,54.1,54.4,32.5,51.5,3.9,7,5.2,NA,72.4,2.3,4.6,5.5,56,0.1,0,27,67.6,6.9,91.3,85.5
Baker,2016,864,74,43,98,1141,197,3282,NA,21.5,18.8,NA,36.2,NA,NA,19.7,NA,84.2,2.3,1.2,1.1,0.7,1.3,0.6,0.7,73.1,23.4,3.08,37.5,48,48.2,28.8,66.7,4.2,7.8,4.4,NA,63,2.5,4.8,4.3,52,0.1,0.1,26.2,64.9,6.4,90.8,84.2
Baker,2017,832,65,50,37,1148,193,3140,NA,NA,6.4,NA,30.3,NA,NA,21.7,NA,80.6,2,1.2,1.5,0.8,1.5,0.6,0.6,NA,22.5,2.68,33.2,NA,NA,NA,NA,4.2,8.3,NA,NA,67,2.5,5.4,NA,37,0.1,0.1,27.1,51.4,5.5,90.7,91.5
Baker,2018,837,54,NA,NA,1221,203,3135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.4,0.8,1.5,0.6,0.5,NA,NA,NA,29.9,NA,NA,NA,NA,4.4,8.5,NA,NA,NA,2.5,4.8,NA,NA,0.1,0.1,NA,NA,5.5,90.4,83.2
Benton,2014,4326,154,37,75,3177,555,14566,NA,6.5,4.1,NA,11.3,NA,NA,7.8,NA,78.2,NA,0.6,0.7,5.9,6,1,1.1,83.6,20.8,0.5,NA,68.8,74.1,70.4,81,7,11.4,2.6,NA,53.8,3.2,5.5,4.6,46,0.2,0.4,13,51.3,5.3,82.1,74.9
Benton,2015,4287,121,32,97,3082,483,14679,NA,7.9,2.7,NA,10.8,NA,NA,5.4,NA,82.8,NA,0.6,0.7,6.1,6.1,1,1.2,85.7,19.9,0.7,38.2,51.3,50,57.5,71.2,7.3,11.8,2.9,NA,60.4,3.3,5.7,3.6,51,0.3,0.4,15,66.7,4.3,81.6,74.1
Benton,2016,3704,138,33,90,3151,455,15249,NA,11.3,3.9,NA,10.7,NA,NA,7.7,NA,79.6,9.1,0.6,0.6,6.4,6.9,1.1,1.3,82.1,18.3,0.61,38.3,44.9,37.3,42,56.9,7.3,11.6,3.3,NA,67,3.4,5.9,3.3,48,0.2,0.3,13,56.1,3.9,81.1,73.4
Benton,2017,3793,121,21,71,2812,382,15044,NA,NA,5.7,NA,14.6,NA,NA,5.6,NA,81.7,4.8,0.5,0.7,6.6,9.7,1.1,1.9,NA,16.9,0.59,37.7,NA,NA,NA,NA,7.5,15.7,NA,NA,65,3.6,8.5,NA,46,0.2,0.5,12,63.4,3.3,80.5,99.5
Benton,2018,3799,123,NA,NA,2641,382,14968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,7,7.4,1.1,1.3,NA,NA,NA,37.1,NA,NA,NA,NA,7.6,11.6,NA,NA,NA,3.6,6.1,NA,NA,0.2,0.3,NA,NA,3.2,79.9,72.8
