school_year,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,ncessch,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered
2014-2015,41,OREGON,Falls City Elementary School,Falls City SD 57,00000000002193,4100003,00000000000000001005,410000301061,Open,Regular School,No,No,N
2014-2015,41,OREGON,Falls City High School,Falls City SD 57,00000000002193,4100003,00000000000000001006,410000301062,Open,Regular School,No,No,N
2014-2015,41,OREGON,Oregon School for the Deaf,Oregon Department of Education,00000000002336,4100009,00000000000000001832,410000900062,Open,Special Education School,No,No,N
2014-2015,41,OREGON,Four Rivers Community School,Oregon Department of Education,00000000002336,4100009,00000000000000004040,410000901592,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Southwest Charter School,Oregon Department of Education,00000000002336,4100009,00000000000000004604,410000901734,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,The Ivy School,Oregon Department of Education,00000000002336,4100009,00000000000000004720,410000901784,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Eagle Charter School,Oregon Department of Education,00000000002336,4100009,00000000000000004850,410000901808,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Vale Elementary School,Vale SD 84,00000000002116,4100014,00000000000000000701,410001400748,Open,Regular School,No,No,N
2014-2015,41,OREGON,Willowcreek Elementary School,Vale SD 84,00000000002116,4100014,00000000000000000706,410001400754,Open,Regular School,No,No,N
2014-2015,41,OREGON,Vale High School,Vale SD 84,00000000002116,4100014,00000000000000000713,410001400761,Open,Regular School,No,No,N
2014-2015,41,OREGON,Vale Middle School,Vale SD 84,00000000002116,4100014,00000000000000001357,410001401026,Open,Regular School,No,No,N
2014-2015,41,OREGON,Gervais Elementary School,Gervais SD 1,00000000002137,4100015,00000000000000000776,410001500821,Open,Regular School,No,No,N
2014-2015,41,OREGON,Gervais Middle School,Gervais SD 1,00000000002137,4100015,00000000000000000786,410001500831,Open,Regular School,No,No,N
2014-2015,41,OREGON,Gervais High School,Gervais SD 1,00000000002137,4100015,00000000000000000808,410001500853,Open,Regular School,No,No,N
2014-2015,41,OREGON,Samuel Brown Academy,Gervais SD 1,00000000002137,4100015,00000000000000004024,410001501588,Open,Alternative Education School,No,No,N
2014-2015,41,OREGON,Yamhill Carlton Elementary School,Yamhill Carlton SD 1,00000000002251,4100016,00000000000000001213,410001601266,Open,Regular School,No,No,N
2014-2015,41,OREGON,Yamhill Carlton High School,Yamhill Carlton SD 1,00000000002251,4100016,00000000000000001238,410001601288,Open,Regular School,No,No,N
2014-2015,41,OREGON,Yamhill Carlton Intermediate School,Yamhill Carlton SD 1,00000000002251,4100016,00000000000000004564,410001601730,Open,Regular School,No,No,N
2014-2015,41,OREGON,Harrisburg Elementary School,Harrisburg SD 7J,00000000002099,4100019,00000000000000000659,410001900698,Open,Regular School,No,No,N
2014-2015,41,OREGON,Harrisburg High School,Harrisburg SD 7J,00000000002099,4100019,00000000000000000689,410001900731,Open,Regular School,No,No,N
2014-2015,41,OREGON,Harrisburg Middle School,Harrisburg SD 7J,00000000002099,4100019,00000000000000002723,410001901422,Open,Regular School,No,No,N
2014-2015,41,OREGON,Mari-Linn Elementary School,North Santiam SD 29J,00000000002143,4100020,00000000000000000656,410002000693,Open,Regular School,No,No,N
2014-2015,41,OREGON,Sublimity Elementary School,North Santiam SD 29J,00000000002143,4100020,00000000000000000717,410002000765,Open,Regular School,No,No,N
2014-2015,41,OREGON,Stayton Elementary School,North Santiam SD 29J,00000000002143,4100020,00000000000000000788,410002000833,Open,Regular School,No,No,N
2014-2015,41,OREGON,Stayton Middle School,North Santiam SD 29J,00000000002143,4100020,00000000000000000789,410002000834,Open,Regular School,No,No,N
2014-2015,41,OREGON,Stayton High School,North Santiam SD 29J,00000000002143,4100020,00000000000000000809,410002000854,Open,Regular School,No,No,N
2014-2015,41,OREGON,Maupin Elementary School,South Wasco County SD 1,00000000002225,4100021,00000000000000001108,410002101166,Open,Regular School,No,No,N
2014-2015,41,OREGON,South Wasco County High School,South Wasco County SD 1,00000000002225,4100021,00000000000000001109,410002101167,Open,Regular School,No,No,N
2014-2015,41,OREGON,Tobias Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001302,410002300209,Open,Regular School,No,No,N
2014-2015,41,OREGON,West Union Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001111,410002301168,Open,Regular School,No,No,N
2014-2015,41,OREGON,Brookwood Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001112,410002301169,Open,Regular School,No,No,N
2014-2015,41,OREGON,Eastwood Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001115,410002301171,Open,Regular School,No,No,N
2014-2015,41,OREGON,W Verne McKinney Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001114,410002301172,Open,Regular School,No,No,N
2014-2015,41,OREGON,Mooberry Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001117,410002301173,Open,Regular School,No,No,N
2014-2015,41,OREGON,W L Henry Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001119,410002301175,Open,Regular School,No,No,N
2014-2015,41,OREGON,Butternut Creek Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001147,410002301199,Open,Regular School,No,No,N
2014-2015,41,OREGON,Reedville Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001149,410002301200,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ladd Acres Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001150,410002301201,Open,Regular School,No,No,N
2014-2015,41,OREGON,Witch Hazel Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001151,410002301202,Open,Regular School,No,No,N
2014-2015,41,OREGON,Groner Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001152,410002301203,Open,Regular School,No,No,N
2014-2015,41,OREGON,Farmington View Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001189,410002301242,Open,Regular School,No,No,N
2014-2015,41,OREGON,North Plains Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001190,410002301243,Open,Regular School,No,No,N
2014-2015,41,OREGON,Century High School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001368,410002301248,Open,Regular School,No,No,N
2014-2015,41,OREGON,R A Brown Middle School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001196,410002301250,Open,Regular School,No,No,N
2014-2015,41,OREGON,J W Poynter Middle School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001199,410002301251,Open,Regular School,No,No,N
2014-2015,41,OREGON,Hillsboro High School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001201,410002301252,Open,Regular School,No,No,N
2014-2015,41,OREGON,South Meadows Middle School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001198,410002301253,Open,Regular School,No,No,N
2014-2015,41,OREGON,Indian Hills Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001148,410002301295,Open,Regular School,No,No,N
2014-2015,41,OREGON,Lenox Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001110,410002301300,Open,Regular School,No,No,N
2014-2015,41,OREGON,Minter Bridge Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001116,410002301305,Open,Regular School,No,No,N
2014-2015,41,OREGON,Glencoe High School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001200,410002301306,Open,Regular School,No,No,N
2014-2015,41,OREGON,Evergreen Jr High School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001197,410002301322,Open,Regular School,No,No,N
2014-2015,41,OREGON,Jackson Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000001285,410002301373,Open,Regular School,No,No,N
2014-2015,41,OREGON,Orenco Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000003160,410002301499,Open,Regular School,No,No,N
2014-2015,41,OREGON,Paul L Patterson Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000003159,410002301500,Open,Regular School,No,No,N
2014-2015,41,OREGON,City View Charter School,Hillsboro SD 1J,00000000002239,4100023,00000000000000004206,410002301535,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Liberty High School,Hillsboro SD 1J,00000000002239,4100023,00000000000000004018,410002301585,Open,Regular School,No,No,N
2014-2015,41,OREGON,Lincoln Street Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000004642,410002301749,Open,Regular School,No,No,N
2014-2015,41,OREGON,Rosedale Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000004703,410002301750,Open,Regular School,No,No,N
2014-2015,41,OREGON,Quatama Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000004643,410002301759,Open,Regular School,No,No,N
2014-2015,41,OREGON,Free Orchards Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000004641,410002301764,Open,Regular School,No,No,N
2014-2015,41,OREGON,Hillsboro Online Academy,Hillsboro SD 1J,00000000002239,4100023,00000000000000004973,410002301824,Open,Regular School,No,No,N
2014-2015,41,OREGON,Imlay Elementary School,Hillsboro SD 1J,00000000002239,4100023,00000000000000003536,410002304174,Open,Regular School,No,No,N
2014-2015,41,OREGON,Wake Robin School,Linn Benton Lincoln ESD,00000000002098,4100033,00000000000000005160,410003301827,Open,Regular School,No,No,Y
2014-2015,41,OREGON,Hilda Lahti Elementary School,Knappa SD 4,00000000002262,4100040,00000000000000000166,410004000176,Open,Regular School,No,No,N
2014-2015,41,OREGON,Knappa High School,Knappa SD 4,00000000002262,4100040,00000000000000000169,410004000179,Open,Regular School,No,No,N
2014-2015,41,OREGON,Robert S Farrell High School,ODE YCEP District,00000000003477,4100043,00000000000000001827,410004300490,Open,Regular School,No,No,N
2014-2015,41,OREGON,William P Lord High School,ODE YCEP District,00000000003477,4100043,00000000000000001828,410004300494,Open,Regular School,No,No,N
2014-2015,41,OREGON,Monroe School,ODE YCEP District,00000000003477,4100043,00000000000000002258,410004301404,Open,Regular School,No,No,N
2014-2015,41,OREGON,Newbridge High School,ODE YCEP District,00000000003477,4100043,00000000000000002260,410004301406,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ocean Dunes High School,ODE YCEP District,00000000003477,4100043,00000000000000002387,410004301412,Open,Regular School,No,No,N
2014-2015,41,OREGON,South Jetty High School,ODE YCEP District,00000000003477,4100043,00000000000000002385,410004301476,Open,Regular School,No,No,N
2014-2015,41,OREGON,RiverBend High School,ODE YCEP District,00000000003477,4100043,00000000000000002386,410004301477,Open,Regular School,No,No,N
2014-2015,41,OREGON,Trask River High School,ODE YCEP District,00000000003477,4100043,00000000000000004588,410004301740,Open,Regular School,No,No,N
2014-2015,41,OREGON,Three Lakes High School,ODE YCEP District,00000000003477,4100043,00000000000000004609,410004301744,Open,Regular School,No,No,N
2014-2015,41,OREGON,Ione Community Charter School,Ione SD R2,00000000003997,4100047,00000000000000003363,410004700862,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Chenowith Elementary School,North Wasco County SD 21,00000000004131,4100048,00000000000000001093,410004801151,Open,Regular School,No,No,N
2014-2015,41,OREGON,Mosier Community School,North Wasco County SD 21,00000000004131,4100048,00000000000000001095,410004801153,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Colonel Wright Elementary School,North Wasco County SD 21,00000000004131,4100048,00000000000000001097,410004801155,Open,Regular School,No,No,N
2014-2015,41,OREGON,Dry Hollow Elementary School,North Wasco County SD 21,00000000004131,4100048,00000000000000001098,410004801156,Open,Regular School,No,No,N
2014-2015,41,OREGON,The Dalles Middle School,North Wasco County SD 21,00000000004131,4100048,00000000000000001100,410004801158,Open,Regular School,No,No,N
2014-2015,41,OREGON,The Dalles High School,North Wasco County SD 21,00000000004131,4100048,00000000000000001101,410004801159,Open,Regular School,No,No,N
2014-2015,41,OREGON,Mosier Middle School,North Wasco County SD 21,00000000004131,4100048,00000000000000004849,410004801806,Open,Regular School,No,Yes,N
2014-2015,41,OREGON,Wahtonka Community School,North Wasco County SD 21,00000000004131,4100048,00000000000000005250,410004801833,New,Alternative Education School,No,No,N
2014-2015,41,OREGON,Myrtle Crest School,Myrtle Point SD 41,00000000001968,4100640,00000000000000000214,410064000233,Open,Regular School,No,No,N
2014-2015,41,OREGON,Myrtle Point High School,Myrtle Point SD 41,00000000001968,4100640,00000000000000000215,410064000234,Open,Regular School,No,No,N
2014-2015,41,OREGON,Adel Elementary School,Adel SD 21,00000000002063,4100990,00000000000000000498,410099000524,Open,Regular School,No,No,N
2014-2015,41,OREGON,Adrian Elementary School,Adrian SD 61,00000000002113,4101020,00000000000000000707,410102000755,Open,Regular School,No,No,N
2014-2015,41,OREGON,Adrian High School,Adrian SD 61,00000000002113,4101020,00000000000000000708,410102000756,Open,Regular School,No,No,N
2014-2015,41,OREGON,Oak Grove Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000639,410112000017,Open,Regular School,No,No,N
2014-2015,41,OREGON,North Albany Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000637,410112000029,Open,Regular School,No,No,N
2014-2015,41,OREGON,Central Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000631,410112000669,Open,Regular School,No,No,N
2014-2015,41,OREGON,Lafayette Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000640,410112000670,Open,Regular School,No,No,N
2014-2015,41,OREGON,Liberty Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000641,410112000671,Open,Regular School,No,No,N
