ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty
160261000459,OR,42.690493,-117.031963,36620,2014-2015,2,41045,Malheur County
410000301061,OR,44.867735,-123.432274,41420,2014-2015,1,41053,Polk County
410000301062,OR,44.865531,-123.429819,41420,2014-2015,1,41053,Polk County
410000900062,OR,44.966038,-123.022665,41420,2014-2015,1,41047,Marion County
410000901592,OR,44.0244,-116.9959,36620,2014-2015,2,41045,Malheur County
410000901734,OR,45.493136,-122.67159,38900,2014-2015,1,41051,Multnomah County
410000901784,OR,45.55522,-122.619911,38900,2014-2015,1,41051,Multnomah County
410000901808,OR,44.96428,-123.021122,41420,2014-2015,1,41047,Marion County
410001400748,OR,43.978512,-117.24293,36620,2014-2015,2,41045,Malheur County
410001400754,OR,44.113132,-117.365728,36620,2014-2015,2,41045,Malheur County
410001400761,OR,43.97868,-117.252663,36620,2014-2015,2,41045,Malheur County
410001401026,OR,43.978512,-117.24293,36620,2014-2015,2,41045,Malheur County
410001500821,OR,45.10626,-122.897301,41420,2014-2015,1,41047,Marion County
410001500831,OR,45.10382,-122.894561,41420,2014-2015,1,41047,Marion County
410001500853,OR,45.103694,-122.893841,41420,2014-2015,1,41047,Marion County
410001501588,OR,45.105469,-122.897251,41420,2014-2015,1,41047,Marion County
410001601266,OR,45.290958,-123.172928,38900,2014-2015,1,41071,Yamhill County
410001601288,OR,45.343258,-123.186973,38900,2014-2015,1,41071,Yamhill County
410001601730,OR,45.341875,-123.185773,38900,2014-2015,1,41071,Yamhill County
410001900698,OR,44.272031,-123.164536,10540,2014-2015,1,41043,Linn County
410001900731,OR,44.269256,-123.160742,10540,2014-2015,1,41043,Linn County
410001901422,OR,44.271653,-123.165656,10540,2014-2015,1,41043,Linn County
410002000693,OR,44.779302,-122.61684,10540,2014-2015,1,41043,Linn County
410002000765,OR,44.83032,-122.7842,41420,2014-2015,1,41047,Marion County
410002000833,OR,44.801651,-122.793412,41420,2014-2015,1,41047,Marion County
410002000834,OR,44.81081,-122.804096,41420,2014-2015,1,41047,Marion County
410002000854,OR,44.803194,-122.801151,41420,2014-2015,1,41047,Marion County
410002101166,OR,45.1763,-121.079285,45520,2014-2015,2,41065,Wasco County
410002101167,OR,45.177362,-121.081363,45520,2014-2015,2,41065,Wasco County
410002300209,OR,45.512059,-122.890548,38900,2014-2015,1,41067,Washington County
410002301168,OR,45.577003,-122.924011,38900,2014-2015,1,41067,Washington County
410002301169,OR,45.515267,-122.942254,38900,2014-2015,1,41067,Washington County
410002301171,OR,45.523611,-122.95989,38900,2014-2015,1,41067,Washington County
410002301172,OR,45.530571,-122.99547,38900,2014-2015,1,41067,Washington County
410002301173,OR,45.53378,-122.971944,38900,2014-2015,1,41067,Washington County
410002301175,OR,45.511994,-122.956566,38900,2014-2015,1,41067,Washington County
410002301199,OR,45.487117,-122.886895,38900,2014-2015,1,41067,Washington County
410002301200,OR,45.500167,-122.891983,38900,2014-2015,1,41067,Washington County
410002301201,OR,45.50205,-122.903371,38900,2014-2015,1,41067,Washington County
410002301202,OR,45.493527,-122.932306,38900,2014-2015,1,41067,Washington County
410002301203,OR,45.417823,-122.919979,38900,2014-2015,1,41067,Washington County
410002301242,OR,45.460249,-122.991374,38900,2014-2015,1,41067,Washington County
410002301243,OR,45.601662,-123.00711,38900,2014-2015,1,41067,Washington County
410002301248,OR,45.503945,-122.915205,38900,2014-2015,1,41067,Washington County
410002301250,OR,45.50957,-122.903123,38900,2014-2015,1,41067,Washington County
410002301251,OR,45.528505,-122.96629,38900,2014-2015,1,41067,Washington County
410002301252,OR,45.494698,-122.958827,38900,2014-2015,1,41067,Washington County
410002301253,OR,45.494039,-122.931292,38900,2014-2015,1,41067,Washington County
410002301295,OR,45.506862,-122.895251,38900,2014-2015,1,41067,Washington County
410002301300,OR,45.558015,-122.894045,38900,2014-2015,1,41067,Washington County
410002301305,OR,45.49716,-122.963354,38900,2014-2015,1,41067,Washington County
410002301306,OR,45.541947,-122.992679,38900,2014-2015,1,41067,Washington County
410002301322,OR,45.548203,-122.98475,38900,2014-2015,1,41067,Washington County
410002301373,OR,45.543783,-122.981494,38900,2014-2015,1,41067,Washington County
410002301499,OR,45.528411,-122.907577,38900,2014-2015,1,41067,Washington County
410002301500,OR,45.546186,-122.992622,38900,2014-2015,1,41067,Washington County
410002301535,OR,45.51189,-122.939351,38900,2014-2015,1,41067,Washington County
410002301585,OR,45.562525,-122.902589,38900,2014-2015,1,41067,Washington County
410002301749,OR,45.52445,-122.978091,38900,2014-2015,1,41067,Washington County
410002301750,OR,45.493339,-122.932753,38900,2014-2015,1,41067,Washington County
410002301759,OR,45.53246,-122.908851,38900,2014-2015,1,41067,Washington County
410002301764,OR,45.51847,-123.043427,38900,2014-2015,1,41067,Washington County
410002301824,OR,45.52747,-122.984701,38900,2014-2015,1,41067,Washington County
410002304174,OR,45.511876,-122.920985,38900,2014-2015,1,41067,Washington County
410003301827,OR,44.939907,-123.063893,41420,2014-2015,1,41053,Polk County
410004000176,OR,46.160812,-123.626753,11820,2014-2015,2,41007,Clatsop County
410004000179,OR,46.160812,-123.626753,11820,2014-2015,2,41007,Clatsop County
410004300490,OR,44.892957,-123.010372,41420,2014-2015,1,41047,Marion County
410004300494,OR,45.15648,-122.818711,41420,2014-2015,1,41047,Marion County
410004301404,OR,43.585578,-119.071919,N,2014-2015,N,41025,Harney County
410004301406,OR,42.43222,-123.301751,24420,2014-2015,1,41033,Josephine County
410004301412,OR,43.957016,-124.114037,21660,2014-2015,1,41039,Lane County
410004301476,OR,46.142987,-123.907157,11820,2014-2015,2,41007,Clatsop County
410004301477,OR,45.339996,-118.238375,29260,2014-2015,2,41061,Union County
410004301740,OR,45.423038,-123.794937,N,2014-2015,N,41057,Tillamook County
410004301744,OR,44.601388,-123.094801,10540,2014-2015,1,41043,Linn County
410004700862,OR,45.499201,-119.828481,25840,2014-2015,2,41049,Morrow County
410004801151,OR,45.625318,-121.221892,45520,2014-2015,2,41065,Wasco County
410004801153,OR,45.682947,-121.400529,45520,2014-2015,2,41065,Wasco County
410004801155,OR,45.59748,-121.198128,45520,2014-2015,2,41065,Wasco County
410004801156,OR,45.586618,-121.173169,45520,2014-2015,2,41065,Wasco County
410004801158,OR,45.592342,-121.175886,45520,2014-2015,2,41065,Wasco County
410004801159,OR,45.5964,-121.188,45520,2014-2015,2,41065,Wasco County
410004801806,OR,45.68325,-121.400651,45520,2014-2015,2,41065,Wasco County
410004801833,OR,45.62454,-121.223471,45520,2014-2015,2,41065,Wasco County
410064000233,OR,43.060249,-124.131114,18300,2014-2015,2,41011,Coos County
410064000234,OR,43.061134,-124.143029,18300,2014-2015,2,41011,Coos County
410099000524,OR,42.16875,-119.899781,N,2014-2015,N,41037,Lake County
410102000755,OR,43.742267,-117.069954,36620,2014-2015,2,41045,Malheur County
410102000756,OR,43.742296,-117.068621,36620,2014-2015,2,41045,Malheur County
410112000017,OR,44.657068,-123.148252,18700,2014-2015,1,41003,Benton County
410112000029,OR,44.651579,-123.114713,18700,2014-2015,1,41003,Benton County
410112000669,OR,44.630396,-123.10675,10540,2014-2015,1,41043,Linn County
410112000670,OR,44.612709,-123.091881,10540,2014-2015,1,41043,Linn County
410112000671,OR,44.618804,-123.118471,10540,2014-2015,1,41043,Linn County
410112000672,OR,44.607978,-123.085927,10540,2014-2015,1,41043,Linn County
410112000673,OR,44.622469,-123.093943,10540,2014-2015,1,41043,Linn County
410112000674,OR,44.633597,-123.07007,10540,2014-2015,1,41043,Linn County
410112000675,OR,44.626843,-123.119212,10540,2014-2015,1,41043,Linn County
410112000676,OR,44.637436,-123.077432,10540,2014-2015,1,41043,Linn County
410112000680,OR,44.621188,-123.078173,10540,2014-2015,1,41043,Linn County
410112000692,OR,44.538077,-123.104688,10540,2014-2015,1,41043,Linn County
410112000725,OR,44.668547,-123.035343,10540,2014-2015,1,41043,Linn County
410112000732,OR,44.617588,-123.092585,10540,2014-2015,1,41043,Linn County
410112000733,OR,44.622651,-123.115024,10540,2014-2015,1,41043,Linn County
410112000734,OR,44.652345,-123.111962,18700,2014-2015,1,41003,Benton County
410112000735,OR,44.622699,-123.117239,10540,2014-2015,1,41043,Linn County
410112000736,OR,44.607599,-123.077721,10540,2014-2015,1,41043,Linn County
410112001577,OR,44.62321,-123.094525,10540,2014-2015,1,41043,Linn County
410112001773,OR,44.647086,-123.041081,10540,2014-2015,1,41043,Linn County
410120000019,OR,44.38095,-123.594731,18700,2014-2015,1,41003,Benton County
410120001502,OR,44.38095,-123.594731,18700,2014-2015,1,41003,Benton County
410123001260,OR,45.122434,-123.203649,38900,2014-2015,1,41071,Yamhill County
410123001263,OR,45.116203,-123.202729,38900,2014-2015,1,41071,Yamhill County
410123001320,OR,45.113533,-123.205218,38900,2014-2015,1,41071,Yamhill County
410123001653,OR,45.065352,-123.322467,41420,2014-2015,1,41071,Yamhill County
410135000753,OR,44.236617,-116.987442,36620,2014-2015,2,41045,Malheur County
410147000343,OR,45.712229,-120.19994,N,2014-2015,N,41021,Gilliam County
410150000759,OR,42.91401,-117.525178,36620,2014-2015,2,41045,Malheur County
410156000395,OR,42.175685,-122.670777,32780,2014-2015,1,41029,Jackson County
410156000397,OR,42.208981,-122.712828,32780,2014-2015,1,41029,Jackson County
410156000399,OR,42.188367,-122.687298,32780,2014-2015,1,41029,Jackson County
410156000400,OR,42.192461,-122.687229,32780,2014-2015,1,41029,Jackson County
410156000401,OR,42.190937,-122.700252,32780,2014-2015,1,41029,Jackson County
410156001654,OR,42.192429,-122.68724,32780,2014-2015,1,41029,Jackson County
410159000448,OR,44.76876,-120.760915,N,2014-2015,N,41031,Jefferson County
410162000152,OR,46.191765,-123.803661,11820,2014-2015,2,41007,Clatsop County
410162000153,OR,46.179332,-123.831025,11820,2014-2015,2,41007,Clatsop County
410162000155,OR,46.176344,-123.848886,11820,2014-2015,2,41007,Clatsop County
410162000156,OR,46.147615,-123.842087,11820,2014-2015,2,41007,Clatsop County
410166001112,OR,45.808485,-118.484651,25840,2014-2015,2,41059,Umatilla County
410166001114,OR,45.812778,-118.42206,25840,2014-2015,2,41059,Umatilla County
410166001115,OR,45.810945,-118.485992,25840,2014-2015,2,41059,Umatilla County
410171000001,OR,44.777588,-117.834823,N,2014-2015,N,41001,Baker County
410171000002,OR,44.777394,-117.821342,N,2014-2015,N,41001,Baker County
410171000007,OR,44.770542,-117.833659,N,2014-2015,N,41001,Baker County
410171000009,OR,44.787007,-117.837274,N,2014-2015,N,41001,Baker County
410171000030,OR,44.914117,-117.934246,N,2014-2015,N,41001,Baker County
410171000034,OR,44.875177,-117.590657,N,2014-2015,N,41001,Baker County
410171001516,OR,44.783972,-117.838192,N,2014-2015,N,41001,Baker County
410171001767,OR,44.77783,-117.834001,N,2014-2015,N,41001,Baker County
410171001783,OR,44.78458,-117.838731,N,2014-2015,N,41001,Baker County
410174000013,OR,44.439832,-118.191939,N,2014-2015,N,41001,Baker County
410180000235,OR,43.115664,-124.419376,18300,2014-2015,2,41011,Coos County
410180000236,OR,43.114422,-124.416675,18300,2014-2015,2,41011,Coos County
410180000237,OR,43.115589,-124.420435,18300,2014-2015,2,41011,Coos County
410183001176,OR,45.611647,-123.113392,38900,2014-2015,1,41067,Washington County
410183001179,OR,45.61335,-123.112801,38900,2014-2015,1,41067,Washington County
410183001180,OR,45.61504,-123.111321,38900,2014-2015,1,41067,Washington County
410192000210,OR,45.44513,-122.8435,38900,2014-2015,1,41067,Washington County
410192000213,OR,45.494602,-122.793862,38900,2014-2015,1,41067,Washington County
410192000220,OR,45.50604,-122.848182,38900,2014-2015,1,41067,Washington County
410192000536,OR,45.50604,-122.848182,38900,2014-2015,1,41067,Washington County
410192000552,OR,45.446742,-122.802947,38900,2014-2015,1,41067,Washington County
410192000554,OR,45.550262,-122.865842,38900,2014-2015,1,41067,Washington County
410192001204,OR,45.483965,-122.85382,38900,2014-2015,1,41067,Washington County
410192001205,OR,45.506263,-122.818396,38900,2014-2015,1,41067,Washington County
410192001206,OR,45.50441,-122.852956,38900,2014-2015,1,41067,Washington County
410192001207,OR,45.54298,-122.857947,38900,2014-2015,1,41067,Washington County
410192001210,OR,45.526965,-122.782587,38900,2014-2015,1,41067,Washington County
410192001211,OR,45.475914,-122.837263,38900,2014-2015,1,41067,Washington County
410192001212,OR,45.464608,-122.850746,38900,2014-2015,1,41067,Washington County
410192001213,OR,45.473755,-122.818284,38900,2014-2015,1,41067,Washington County
410192001215,OR,45.4692,-122.8832,38900,2014-2015,1,41067,Washington County
410192001216,OR,45.454059,-122.819316,38900,2014-2015,1,41067,Washington County
410192001217,OR,45.48926,-122.876286,38900,2014-2015,1,41067,Washington County
410192001219,OR,45.465576,-122.778512,38900,2014-2015,1,41067,Washington County
410192001220,OR,45.530136,-122.866734,38900,2014-2015,1,41067,Washington County
410192001222,OR,45.47591,-122.752267,38900,2014-2015,1,41067,Washington County
410192001223,OR,45.538769,-122.83602,38900,2014-2015,1,41067,Washington County
410192001224,OR,45.482432,-122.758344,38900,2014-2015,1,41067,Washington County
410192001225,OR,45.493449,-122.756378,38900,2014-2015,1,41067,Washington County
410192001226,OR,45.502529,-122.780443,38900,2014-2015,1,41067,Washington County
410192001227,OR,45.549195,-122.868671,38900,2014-2015,1,41067,Washington County
410192001229,OR,45.533135,-122.820032,38900,2014-2015,1,41067,Washington County
410192001230,OR,45.468806,-122.7939,38900,2014-2015,1,41067,Washington County
410192001231,OR,45.515213,-122.766775,38900,2014-2015,1,41067,Washington County
410192001232,OR,45.50157,-122.8001,38900,2014-2015,1,41067,Washington County
410192001233,OR,45.506148,-122.791433,38900,2014-2015,1,41067,Washington County
410192001234,OR,45.530545,-122.853237,38900,2014-2015,1,41067,Washington County
410192001235,OR,45.515238,-122.823519,38900,2014-2015,1,41067,Washington County
410192001236,OR,45.479317,-122.855952,38900,2014-2015,1,41067,Washington County
410192001237,OR,45.468878,-122.818515,38900,2014-2015,1,41067,Washington County
410192001238,OR,45.463156,-122.782035,38900,2014-2015,1,41067,Washington County
410192001239,OR,45.484598,-122.868819,38900,2014-2015,1,41067,Washington County
