school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,frl
2014-2015,41,OREGON,Falls City Elementary School,00000000002193,4100003,00000000000000001005,410000301061,68
2014-2015,41,OREGON,Falls City High School,00000000002193,4100003,00000000000000001006,410000301062,24
2014-2015,41,OREGON,Oregon School for the Deaf,00000000002336,4100009,00000000000000001832,410000900062,51
2014-2015,41,OREGON,Four Rivers Community School,00000000002336,4100009,00000000000000004040,410000901592,198
2014-2015,41,OREGON,Southwest Charter School,00000000002336,4100009,00000000000000004604,410000901734,-1
2014-2015,41,OREGON,The Ivy School,00000000002336,4100009,00000000000000004720,410000901784,72
2014-2015,41,OREGON,Eagle Charter School,00000000002336,4100009,00000000000000004850,410000901808,77
2014-2015,41,OREGON,Vale Elementary School,00000000002116,4100014,00000000000000000701,410001400748,276
2014-2015,41,OREGON,Willowcreek Elementary School,00000000002116,4100014,00000000000000000706,410001400754,40
2014-2015,41,OREGON,Vale High School,00000000002116,4100014,00000000000000000713,410001400761,157
2014-2015,41,OREGON,Vale Middle School,00000000002116,4100014,00000000000000001357,410001401026,83
2014-2015,41,OREGON,Gervais Elementary School,00000000002137,4100015,00000000000000000776,410001500821,374
2014-2015,41,OREGON,Gervais Middle School,00000000002137,4100015,00000000000000000786,410001500831,177
2014-2015,41,OREGON,Gervais High School,00000000002137,4100015,00000000000000000808,410001500853,239
2014-2015,41,OREGON,Samuel Brown Academy,00000000002137,4100015,00000000000000004024,410001501588,45
2014-2015,41,OREGON,Yamhill Carlton Elementary School,00000000002251,4100016,00000000000000001213,410001601266,172
2014-2015,41,OREGON,Yamhill Carlton High School,00000000002251,4100016,00000000000000001238,410001601288,130
2014-2015,41,OREGON,Yamhill Carlton Intermediate School,00000000002251,4100016,00000000000000004564,410001601730,150
2014-2015,41,OREGON,Harrisburg Elementary School,00000000002099,4100019,00000000000000000659,410001900698,234
2014-2015,41,OREGON,Harrisburg High School,00000000002099,4100019,00000000000000000689,410001900731,161
2014-2015,41,OREGON,Harrisburg Middle School,00000000002099,4100019,00000000000000002723,410001901422,135
2014-2015,41,OREGON,Mari-Linn Elementary School,00000000002143,4100020,00000000000000000656,410002000693,120
2014-2015,41,OREGON,Sublimity Elementary School,00000000002143,4100020,00000000000000000717,410002000765,102
2014-2015,41,OREGON,Stayton Elementary School,00000000002143,4100020,00000000000000000788,410002000833,326
2014-2015,41,OREGON,Stayton Middle School,00000000002143,4100020,00000000000000000789,410002000834,406
2014-2015,41,OREGON,Stayton High School,00000000002143,4100020,00000000000000000809,410002000854,402
2014-2015,41,OREGON,Maupin Elementary School,00000000002225,4100021,00000000000000001108,410002101166,66
2014-2015,41,OREGON,South Wasco County High School,00000000002225,4100021,00000000000000001109,410002101167,68
2014-2015,41,OREGON,Tobias Elementary School,00000000002239,4100023,00000000000000001302,410002300209,182
2014-2015,41,OREGON,West Union Elementary School,00000000002239,4100023,00000000000000001111,410002301168,128
2014-2015,41,OREGON,Brookwood Elementary School,00000000002239,4100023,00000000000000001112,410002301169,241
2014-2015,41,OREGON,Eastwood Elementary School,00000000002239,4100023,00000000000000001115,410002301171,385
2014-2015,41,OREGON,W Verne McKinney Elementary School,00000000002239,4100023,00000000000000001114,410002301172,362
2014-2015,41,OREGON,Mooberry Elementary School,00000000002239,4100023,00000000000000001117,410002301173,334
2014-2015,41,OREGON,W L Henry Elementary School,00000000002239,4100023,00000000000000001119,410002301175,343
2014-2015,41,OREGON,Butternut Creek Elementary School,00000000002239,4100023,00000000000000001147,410002301199,218
2014-2015,41,OREGON,Reedville Elementary School,00000000002239,4100023,00000000000000001149,410002301200,192
2014-2015,41,OREGON,Ladd Acres Elementary School,00000000002239,4100023,00000000000000001150,410002301201,191
2014-2015,41,OREGON,Witch Hazel Elementary School,00000000002239,4100023,00000000000000001151,410002301202,436
2014-2015,41,OREGON,Groner Elementary School,00000000002239,4100023,00000000000000001152,410002301203,70
2014-2015,41,OREGON,Farmington View Elementary School,00000000002239,4100023,00000000000000001189,410002301242,97
2014-2015,41,OREGON,North Plains Elementary School,00000000002239,4100023,00000000000000001190,410002301243,69
2014-2015,41,OREGON,Century High School,00000000002239,4100023,00000000000000001368,410002301248,606
2014-2015,41,OREGON,R A Brown Middle School,00000000002239,4100023,00000000000000001196,410002301250,283
2014-2015,41,OREGON,J W Poynter Middle School,00000000002239,4100023,00000000000000001199,410002301251,343
2014-2015,41,OREGON,Hillsboro High School,00000000002239,4100023,00000000000000001201,410002301252,704
2014-2015,41,OREGON,South Meadows Middle School,00000000002239,4100023,00000000000000001198,410002301253,407
2014-2015,41,OREGON,Indian Hills Elementary School,00000000002239,4100023,00000000000000001148,410002301295,204
2014-2015,41,OREGON,Lenox Elementary School,00000000002239,4100023,00000000000000001110,410002301300,174
2014-2015,41,OREGON,Minter Bridge Elementary School,00000000002239,4100023,00000000000000001116,410002301305,265
2014-2015,41,OREGON,Glencoe High School,00000000002239,4100023,00000000000000001200,410002301306,607
2014-2015,41,OREGON,Evergreen Jr High School,00000000002239,4100023,00000000000000001197,410002301322,347
2014-2015,41,OREGON,Jackson Elementary School,00000000002239,4100023,00000000000000001285,410002301373,100
2014-2015,41,OREGON,Orenco Elementary School,00000000002239,4100023,00000000000000003160,410002301499,208
2014-2015,41,OREGON,Paul L Patterson Elementary School,00000000002239,4100023,00000000000000003159,410002301500,120
2014-2015,41,OREGON,City View Charter School,00000000002239,4100023,00000000000000004206,410002301535,-1
2014-2015,41,OREGON,Liberty High School,00000000002239,4100023,00000000000000004018,410002301585,623
2014-2015,41,OREGON,Lincoln Street Elementary School,00000000002239,4100023,00000000000000004642,410002301749,493
2014-2015,41,OREGON,Rosedale Elementary School,00000000002239,4100023,00000000000000004703,410002301750,229
2014-2015,41,OREGON,Quatama Elementary School,00000000002239,4100023,00000000000000004643,410002301759,176
2014-2015,41,OREGON,Free Orchards Elementary School,00000000002239,4100023,00000000000000004641,410002301764,306
2014-2015,41,OREGON,Hillsboro Online Academy,00000000002239,4100023,00000000000000004973,410002301824,-1
2014-2015,41,OREGON,Imlay Elementary School,00000000002239,4100023,00000000000000003536,410002304174,175
2014-2015,41,OREGON,Wake Robin School,00000000002098,4100033,00000000000000005160,410003301827,-1
2014-2015,41,OREGON,Hilda Lahti Elementary School,00000000002262,4100040,00000000000000000166,410004000176,173
2014-2015,41,OREGON,Knappa High School,00000000002262,4100040,00000000000000000169,410004000179,61
2014-2015,41,OREGON,Robert S Farrell High School,00000000003477,4100043,00000000000000001827,410004300490,-1
2014-2015,41,OREGON,William P Lord High School,00000000003477,4100043,00000000000000001828,410004300494,-1
2014-2015,41,OREGON,Monroe School,00000000003477,4100043,00000000000000002258,410004301404,-1
2014-2015,41,OREGON,Newbridge High School,00000000003477,4100043,00000000000000002260,410004301406,-1
2014-2015,41,OREGON,Ocean Dunes High School,00000000003477,4100043,00000000000000002387,410004301412,-1
2014-2015,41,OREGON,South Jetty High School,00000000003477,4100043,00000000000000002385,410004301476,-1
2014-2015,41,OREGON,RiverBend High School,00000000003477,4100043,00000000000000002386,410004301477,-1
2014-2015,41,OREGON,Trask River High School,00000000003477,4100043,00000000000000004588,410004301740,-1
2014-2015,41,OREGON,Three Lakes High School,00000000003477,4100043,00000000000000004609,410004301744,-1
2014-2015,41,OREGON,Ione Community Charter School,00000000003997,4100047,00000000000000003363,410004700862,97
2014-2015,41,OREGON,Chenowith Elementary School,00000000004131,4100048,00000000000000001093,410004801151,410
2014-2015,41,OREGON,Mosier Community School,00000000004131,4100048,00000000000000001095,410004801153,59
2014-2015,41,OREGON,Colonel Wright Elementary School,00000000004131,4100048,00000000000000001097,410004801155,272
2014-2015,41,OREGON,Dry Hollow Elementary School,00000000004131,4100048,00000000000000001098,410004801156,345
2014-2015,41,OREGON,The Dalles Middle School,00000000004131,4100048,00000000000000001100,410004801158,452
2014-2015,41,OREGON,The Dalles High School,00000000004131,4100048,00000000000000001101,410004801159,411
2014-2015,41,OREGON,Mosier Middle School,00000000004131,4100048,00000000000000004849,410004801806,39
2014-2015,41,OREGON,Wahtonka Community School,00000000004131,4100048,00000000000000005250,410004801833,40
2014-2015,41,OREGON,Myrtle Crest School,00000000001968,4100640,00000000000000000214,410064000233,236
2014-2015,41,OREGON,Myrtle Point High School,00000000001968,4100640,00000000000000000215,410064000234,189
2014-2015,41,OREGON,Adel Elementary School,00000000002063,4100990,00000000000000000498,410099000524,-1
2014-2015,41,OREGON,Adrian Elementary School,00000000002113,4101020,00000000000000000707,410102000755,125
2014-2015,41,OREGON,Adrian High School,00000000002113,4101020,00000000000000000708,410102000756,36
2014-2015,41,OREGON,Oak Grove Elementary School,00000000002100,4101120,00000000000000000639,410112000017,42
2014-2015,41,OREGON,North Albany Elementary School,00000000002100,4101120,00000000000000000637,410112000029,58
2014-2015,41,OREGON,Central Elementary School,00000000002100,4101120,00000000000000000631,410112000669,83
2014-2015,41,OREGON,Lafayette Elementary School,00000000002100,4101120,00000000000000000640,410112000670,245
2014-2015,41,OREGON,Liberty Elementary School,00000000002100,4101120,00000000000000000641,410112000671,101
2014-2015,41,OREGON,Oak Elementary School,00000000002100,4101120,00000000000000000643,410112000672,134
2014-2015,41,OREGON,Sunrise Elementary School,00000000002100,4101120,00000000000000000644,410112000673,293
2014-2015,41,OREGON,South Shore Elementary School,00000000002100,4101120,00000000000000000645,410112000674,330
2014-2015,41,OREGON,Takena Elementary School,00000000002100,4101120,00000000000000000647,410112000675,76
2014-2015,41,OREGON,Waverly Elementary School,00000000002100,4101120,00000000000000000648,410112000676,173
2014-2015,41,OREGON,Periwinkle Elementary School,00000000002100,4101120,00000000000000000636,410112000680,196
2014-2015,41,OREGON,Tangent Elementary School,00000000002100,4101120,00000000000000000646,410112000692,101
2014-2015,41,OREGON,Clover Ridge Elementary School,00000000002100,4101120,00000000000000000633,410112000725,109
2014-2015,41,OREGON,Calapooia Middle School,00000000002100,4101120,00000000000000000632,410112000732,359
2014-2015,41,OREGON,Memorial Middle School,00000000002100,4101120,00000000000000000642,410112000733,246
2014-2015,41,OREGON,North Albany Middle School,00000000002100,4101120,00000000000000000638,410112000734,213
2014-2015,41,OREGON,West Albany High School,00000000002100,4101120,00000000000000000649,410112000735,356
2014-2015,41,OREGON,South Albany High School,00000000002100,4101120,00000000000000000650,410112000736,640
2014-2015,41,OREGON,Albany Options School,00000000002100,4101120,00000000000000003950,410112001577,129
2014-2015,41,OREGON,Timber Ridge School,00000000002100,4101120,00000000000000004744,410112001773,270
2014-2015,41,OREGON,Alsea High School,00000000001899,4101200,00000000000000000017,410120000019,46
2014-2015,41,OREGON,Alsea Elementary School,00000000001899,4101200,00000000000000000016,410120001502,75
2014-2015,41,OREGON,Amity Elementary School,00000000002252,4101230,00000000000000001208,410123001260,184
2014-2015,41,OREGON,Amity High School,00000000002252,4101230,00000000000000001210,410123001263,131
