school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,teachers
2014-2015,41,OREGON,Falls City Elementary School,00000000002193,4100003,00000000000000001005,410000301061,5.50
2014-2015,41,OREGON,Falls City High School,00000000002193,4100003,00000000000000001006,410000301062,4.00
2014-2015,41,OREGON,Oregon School for the Deaf,00000000002336,4100009,00000000000000001832,410000900062,14.93
2014-2015,41,OREGON,Four Rivers Community School,00000000002336,4100009,00000000000000004040,410000901592,13.00
2014-2015,41,OREGON,Southwest Charter School,00000000002336,4100009,00000000000000004604,410000901734,8.50
2014-2015,41,OREGON,The Ivy School,00000000002336,4100009,00000000000000004720,410000901784,7.75
2014-2015,41,OREGON,Eagle Charter School,00000000002336,4100009,00000000000000004850,410000901808,6.00
2014-2015,41,OREGON,Vale Elementary School,00000000002116,4100014,00000000000000000701,410001400748,23.00
2014-2015,41,OREGON,Willowcreek Elementary School,00000000002116,4100014,00000000000000000706,410001400754,3.50
2014-2015,41,OREGON,Vale High School,00000000002116,4100014,00000000000000000713,410001400761,16.50
2014-2015,41,OREGON,Vale Middle School,00000000002116,4100014,00000000000000001357,410001401026,8.00
2014-2015,41,OREGON,Gervais Elementary School,00000000002137,4100015,00000000000000000776,410001500821,24.00
2014-2015,41,OREGON,Gervais Middle School,00000000002137,4100015,00000000000000000786,410001500831,8.34
2014-2015,41,OREGON,Gervais High School,00000000002137,4100015,00000000000000000808,410001500853,15.96
2014-2015,41,OREGON,Samuel Brown Academy,00000000002137,4100015,00000000000000004024,410001501588,2.40
2014-2015,41,OREGON,Yamhill Carlton Elementary School,00000000002251,4100016,00000000000000001213,410001601266,18.20
2014-2015,41,OREGON,Yamhill Carlton High School,00000000002251,4100016,00000000000000001238,410001601288,16.63
2014-2015,41,OREGON,Yamhill Carlton Intermediate School,00000000002251,4100016,00000000000000004564,410001601730,16.50
2014-2015,41,OREGON,Harrisburg Elementary School,00000000002099,4100019,00000000000000000659,410001900698,19.59
2014-2015,41,OREGON,Harrisburg High School,00000000002099,4100019,00000000000000000689,410001900731,17.75
2014-2015,41,OREGON,Harrisburg Middle School,00000000002099,4100019,00000000000000002723,410001901422,9.92
2014-2015,41,OREGON,Mari-Linn Elementary School,00000000002143,4100020,00000000000000000656,410002000693,9.59
