ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment_sch,teacher_fte,prop_frl_sch,re_amind_sch,re_asian_sch,re_black_sch,re_hisp_sch,re_missing_sch,re_multi_sch,re_nathi_sch,re_white_sch,prop_gen_female_sch,prop_gen_miss_sch
410000301061,OR,44.867735,-123.432274,41420,2014-2015,1,41053,Polk County,41,OREGON,Falls City Elementary School,Falls City SD 57,00000000002193,4100003,00000000000000001005,Open,Regular School,No,No,N,97,5.50,0.7010309278350515,0.010309278350515464,0,0,0.05154639175257732,0,0.05154639175257732,0,0.8865979381443299,0.5051546391752577,NA
410000301061,OR,44.867735,-123.432274,41420,2015-2016,1,41053,Polk County,41,OREGON,Falls City Elementary School,Falls City SD 57,00000000002193,4100003,00000000002193-00000000000000001005,Open,Regular School,No,No,No,120,6,0.7083333333333334,0.008333333333333333,0,0,0.05,0,0.05,0,0.8916666666666667,0.5583333333333333,NA
410000301061,OR,44.867735,-123.432274,41420,2016-2017,1,41053,Polk County,41,OREGON,Falls City Elementary School,Falls City SD 57,OR-00000000002193,4100003,OR-00000000002193-00000000000000001005,Open,Regular School,No,No,No,115,8.00,0.7043478260869566,0,0,0,0.08695652173913043,0,0.034782608695652174,0,0.8782608695652174,0.5130434782608696,0
410000301061,OR,44.867735,-123.432274,41420,2017-2018,1,41053,Polk County,41,OREGON,Falls City Elementary School,Falls City SD 57,OR-00000000002193,4100003,OR-00000000002193-00000000000000001005,Open,Regular School,No,No,No,130,10.00,0.7,0.015384615384615385,0,0,0.06923076923076923,0,0.06153846153846154,0,0.8538461538461538,0.5076923076923077,0
410000301062,OR,44.865531,-123.429819,41420,2014-2015,1,41053,Polk County,41,OREGON,Falls City High School,Falls City SD 57,00000000002193,4100003,00000000000000001006,Open,Regular School,No,No,N,46,4.00,0.5217391304347826,0.043478260869565216,0,0,0.06521739130434782,0,0,0,0.8913043478260869,0.3695652173913043,NA
410000301062,OR,44.865531,-123.429819,41420,2015-2016,1,41053,Polk County,41,OREGON,Falls City High School,Falls City SD 57,00000000002193,4100003,00000000002193-00000000000000001006,Open,Regular School,No,No,No,58,5,0.5172413793103449,0.017241379310344827,0,0,0.05172413793103448,0,0.017241379310344827,0,0.9137931034482759,0.39655172413793105,NA
410000301062,OR,44.865531000000004,-123.42981900000001,41420,2016-2017,1,41053,Polk County,41,OREGON,Falls City High School,Falls City SD 57,OR-00000000002193,4100003,OR-00000000002193-00000000000000001006,Open,Regular School,No,No,No,60,5.62,0.5333333333333333,0,0,0,0.05,0,0,0,0.95,0.36666666666666664,0
410000301062,OR,44.865531000000004,-123.42981900000001,41420,2017-2018,1,41053,Polk County,41,OREGON,Falls City High School,Falls City SD 57,OR-00000000002193,4100003,OR-00000000002193-00000000000000001006,Open,Regular School,No,No,No,77,6.62,0.5324675324675324,0.012987012987012988,0.025974025974025976,0,0.025974025974025976,0,0.03896103896103896,0,0.8961038961038961,0.4935064935064935,0
410000900062,OR,44.966038,-123.022665,41420,2014-2015,1,41047,Marion County,41,OREGON,Oregon School for the Deaf,Oregon Department of Education,00000000002336,4100009,00000000000000001832,Open,Special Education School,No,No,N,114,14.93,0.4473684210526316,0.043859649122807015,0.05263157894736842,0.07017543859649122,0.35964912280701755,0,0.043859649122807015,0.02631578947368421,0.40350877192982454,0.41228070175438597,NA
410000900062,OR,44.966038,-123.022665,41420,2015-2016,1,41047,Marion County,41,OREGON,Oregon School for the Deaf,Oregon Department of Education,00000000002336,4100009,00000000002336-00000000000000001832,Open,Special Education School,No,No,No,112,18.93,0.5625,0.03571428571428571,0.044642857142857144,0.07142857142857142,0.3392857142857143,0,0.0625,0.026785714285714284,0.41964285714285715,0.4732142857142857,NA
410000900062,OR,44.966553000000005,-123.024234,41420,2016-2017,1,41047,Marion County,41,OREGON,Oregon School for the Deaf,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000001832,Open,Special Education School,No,No,No,123,17.93,0.5609756097560976,0.032520325203252036,0.032520325203252036,0.06504065040650407,0.3902439024390244,0,0.04065040650406504,0.04065040650406504,0.3983739837398374,0.3821138211382114,0
410000900062,OR,44.966553000000005,-123.024234,41420,2017-2018,1,41047,Marion County,41,OREGON,Oregon School for the Deaf,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000001832,Open,Special Education School,No,No,No,118,19.93,0.5677966101694916,0.025423728813559324,0.025423728813559324,0.05084745762711865,0.3728813559322034,0,0.059322033898305086,0.0423728813559322,0.423728813559322,0.3728813559322034,0
410000901592,OR,44.0244,-116.9959,36620,2014-2015,2,41045,Malheur County,41,OREGON,Four Rivers Community School,Oregon Department of Education,00000000002336,4100009,00000000000000004040,Open,Regular School,No,Yes,N,252,13.00,0.7857142857142857,0,0,0,0.7579365079365079,0,0.007936507936507936,0,0.23412698412698413,0.5119047619047619,NA
410000901592,OR,44.0244,-116.9959,36620,2015-2016,2,41045,Malheur County,41,OREGON,Four Rivers Community School,Oregon Department of Education,00000000002336,4100009,00000000002336-00000000000000004040,Open,Regular School,No,Yes,No,253,12,0.7865612648221344,0,0,0.011857707509881422,0.7747035573122529,0,0.007905138339920948,0,0.20553359683794467,0.541501976284585,NA
410000901592,OR,44.0244,-116.9959,36620,2016-2017,2,41045,Malheur County,41,OREGON,Four Rivers Community School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004040,Open,Regular School,No,Yes,No,280,13.28,0.7857142857142857,0,0.0035714285714285713,0.0035714285714285713,0.7928571428571428,0,0.007142857142857143,0,0.19285714285714287,0.5642857142857143,0
410000901592,OR,44.0244,-116.9959,36620,2017-2018,2,41045,Malheur County,41,OREGON,Four Rivers Community School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004040,Open,Regular School,No,Yes,No,305,16.08,0.7836065573770492,0.003278688524590164,0.003278688524590164,0,0.8360655737704918,0,0.006557377049180328,0,0.15081967213114755,0.5737704918032787,0
410000901734,OR,45.492697,-122.67171,38900,2015-2016,1,41051,Multnomah County,41,OREGON,Southwest Charter School,Oregon Department of Education,00000000002336,4100009,00000000002336-00000000000000004604,Open,Regular School,No,Yes,No,199,11,-0.005025125628140704,0.010050251256281407,0.02512562814070352,0.005025125628140704,0.08040201005025126,0,0.07035175879396985,0,0.8090452261306532,0.41708542713567837,NA
410000901734,OR,45.492697,-122.67171,38900,2016-2017,1,41051,Multnomah County,41,OREGON,Southwest Charter School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004604,Open,Regular School,No,Yes,No,192,10.00,NA,0.010416666666666666,0.036458333333333336,0,0.08333333333333333,0,0.07291666666666667,0,0.796875,0.3645833333333333,0
410000901734,OR,45.492697,-122.67171,38900,2017-2018,1,41051,Multnomah County,41,OREGON,The Cottonwood School of Civics and Science,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004604,Open,Regular School,No,Yes,No,200,10.00,NA,0,0.05,0.015,0.065,0,0.09,0,0.78,0.405,0
410000901734,OR,45.493136,-122.67159,38900,2014-2015,1,41051,Multnomah County,41,OREGON,Southwest Charter School,Oregon Department of Education,00000000002336,4100009,00000000000000004604,Open,Regular School,No,Yes,N,188,8.50,-0.005319148936170213,0.015957446808510637,0.015957446808510637,0.005319148936170213,0.07446808510638298,0,0.07446808510638298,0.005319148936170213,0.8085106382978723,0.40425531914893614,NA
